t,count
1648162655,-12
1648162656,-12
1648162657,-12
1648162658,-12
1648162659,-12
1648162660,-12
1648162661,-12
1648162662,-12
1648162663,-12
1648162664,-12
1648162665,-12
1648162666,-12
1648162667,-12
1648162668,-12
1648162669,-12
1648162670,-12
1648162671,-12
1648162672,-12
1648162673,-12
1648162674,-12
1648162675,-12
1648162676,-12
1648162677,-12
1648162678,-12
1648162679,-12
1648162680,-12
1648162681,-12
1648162682,-12
1648162683,-12
1648162684,-12
1648162685,-12
1648162686,-12
1648162687,-12
1648162688,-12
1648162689,-12
1648162690,-12
1648162691,-12
1648162692,-12
1648162693,-12
1648162694,-12
1648162695,-12
1648162696,-12
1648162697,-12
1648162698,-12
1648162699,-12
1648162700,-12
1648162701,-12
1648162702,-12
1648162703,-12
1648162704,-12
1648162705,-12
1648162706,-12
1648162707,-12
1648162708,-12
1648162709,-12
1648162710,-12
1648162711,-12
1648162712,-12
1648162713,-12
1648162714,-12
1648162715,-12
1648162716,-12
1648162717,-12
1648162718,-12
1648162719,-12
1648162720,-12
1648162721,-12
1648162722,-12
1648162723,-12
1648162724,-12
1648162725,-12
1648162726,-12
1648162727,-12
1648162728,-12
1648162729,-12
1648162730,-12
1648162731,-12
1648162732,-12
1648162733,-12
1648162734,-12
1648162735,-12
1648162736,-12
1648162737,-12
1648162738,-12
1648162739,-12
1648162740,-12
1648162741,-12
1648162742,-12
1648162743,-12
1648162744,-12
1648162745,-12
1648162746,-12
1648162747,-12
1648162748,-12
1648162749,-12
1648162750,-12
1648162751,-12
1648162752,-12
1648162753,-12
1648162754,-12
1648162755,-12
1648162756,-12
1648162757,-12
1648162758,-12
1648162759,-12
1648162760,-12
1648162761,-12
1648162762,-12
1648162763,-12
1648162764,-12
1648162765,-12
1648162766,-12
1648162767,-12
1648162768,-12
1648162769,-12
1648162770,-12
1648162771,-12
1648162772,-12
1648162773,-12
1648162774,-12
1648162775,-12
1648162776,-12
1648162777,-12
1648162778,-12
1648162779,-12
1648162780,-12
1648162781,-12
1648162782,-12
1648162783,-12
1648162784,-12
1648162785,-12
1648162786,-12
1648162787,-12
1648162788,-12
1648162789,-12
1648162790,-12
1648162791,-12
1648162792,-12
1648162793,-12
1648162794,-12
1648162795,-12
1648162796,-12
1648162797,-12
1648162798,-12
1648162799,-12
1648162800,-12
1648162801,-12
1648162802,-12
1648162803,-12
1648162804,-12
1648162805,-12
1648162806,-12
1648162807,-12
1648162808,-12
1648162809,-12
1648162810,-12
1648162811,-12
1648162812,-12
1648162813,-12
1648162814,-12
1648162815,-12
1648162816,-12
1648162817,-12
1648162818,-12
1648162819,-12
1648162820,-12
1648162821,-12
1648162822,-12
1648162823,-12
1648162824,-12
1648162825,-12
1648162826,-12
1648162827,-12
1648162828,-12
1648162829,-12
1648162830,-12
1648162831,-12
1648162832,-12
1648162833,-12
1648162834,-12
1648162835,-12
1648162836,-12
1648162837,-12
1648162838,-12
1648162839,-12
1648162840,-12
1648162841,-12
1648162842,-12
1648162843,-12
1648162844,-12
1648162845,-12
1648162846,-12
1648162847,-12
1648162848,-12
1648162849,-12
1648162850,-12
1648162851,-12
1648162852,-12
1648162853,-12
1648162854,-12
1648162855,-12
1648162856,-12
1648162857,-12
1648162858,-12
1648162859,-12
1648162860,-12
1648162861,-12
1648162862,-12
1648162863,-12
1648162864,-12
1648162865,-12
1648162866,-12
1648162867,-12
1648162868,-12
1648162869,-12
1648162870,-12
1648162871,-12
1648162872,-12
1648162873,-12
1648162874,-12
1648162875,-12
1648162876,-12
1648162877,-12
1648162878,-12
1648162879,-12
1648162880,-12
1648162881,-12
1648162882,-12
1648162883,-12
1648162884,-12
1648162885,-12
1648162886,-12
1648162887,-12
1648162888,-12
1648162889,-12
1648162890,-12
1648162891,-12
1648162892,-12
1648162893,-12
1648162894,-12
1648162895,-12
1648162896,-12
1648162897,-12
1648162898,-12
1648162899,-12
1648162900,-12
1648162901,-12
1648162902,-12
1648162903,-12
1648162904,-12
1648162905,-12
1648162906,-12
1648162907,-12
1648162908,-12
1648162909,-12
1648162910,-12
1648162911,-12
1648162912,-12
1648162913,-12
1648162914,-12
1648162915,-12
1648162916,-12
1648162917,-12
1648162918,-12
1648162919,-12
1648162920,-12
1648162921,-12
1648162922,-12
1648162923,-12
1648162924,-12
1648162925,-12
1648162926,-12
1648162927,-12
1648162928,-12
1648162929,-12
1648162930,-12
1648162931,-12
1648162932,-12
1648162933,-12
1648162934,-12
1648162935,-12
1648162936,-12
1648162937,-12
1648162938,-12
1648162939,-12
1648162940,-12
1648162941,-12
1648162942,-12
1648162943,-12
1648162944,-12
1648162945,-12
1648162946,-12
1648162947,-12
1648162948,-12
1648162949,-12
1648162950,-12
1648162951,-12
1648162952,-12
1648162953,-12
1648162954,-12
1648162955,-12
1648162956,-12
1648162957,-12
1648162958,-12
1648162959,-12
1648162960,-12
1648162961,-12
1648162962,-12
1648162963,-12
1648162964,-12
1648162965,-12
1648162966,-12
1648162967,-12
1648162968,-12
1648162969,-12
1648162970,-12
1648162971,-12
1648162972,-12
1648162973,-12
1648162974,-12
1648162975,-12
1648162976,-12
1648162977,-12
1648162978,-12
1648162979,-12
1648162980,-12
1648162981,-12
1648162982,-12
1648162983,-12
1648162984,-12
1648162985,-12
1648162986,-12
1648162987,-12
1648162988,-12
1648162989,-12
1648162990,-12
1648162991,-12
1648162992,-12
1648162993,-12
1648162994,-12
1648162995,-12
1648162996,-12
1648162997,-12
1648162998,-12
1648162999,-12
1648163000,-12
1648163001,-12
1648163002,-12
1648163003,-12
1648163004,-12
1648163005,-12
1648163006,-12
1648163007,-12
1648163008,-12
1648163009,-12
1648163010,-12
1648163011,-12
1648163012,-12
1648163013,-12
1648163014,-12
1648163015,-12
1648163016,-12
1648163017,-12
1648163018,-12
1648163019,-12
1648163020,-12
1648163021,-12
1648163022,-12
1648163023,-12
1648163024,-12
1648163025,-12
1648163026,-12
1648163027,-12
1648163028,-12
1648163029,-12
1648163030,-12
1648163031,-12
1648163032,-12
1648163033,-12
1648163034,-12
1648163035,-12
1648163036,-12
1648163037,-12
1648163038,-12
1648163039,-12
1648163040,-12
1648163041,-12
1648163042,-12
1648163043,-12
1648163044,-12
1648163045,-12
1648163046,-12
1648163047,-12
1648163048,-12
1648163049,-12
1648163050,-12
1648163051,-12
1648163052,-12
1648163053,-12
1648163054,-12
1648163055,-12
1648163056,-12
1648163057,-12
1648163058,-12
1648163059,-12
1648163060,-12
1648163061,-12
1648163062,-12
1648163063,-12
1648163064,-12
1648163065,-12
1648163066,-12
1648163067,-12
1648163068,-12
1648163069,-12
1648163070,-12
1648163071,-12
1648163072,-12
1648163073,-12
1648163074,-12
1648163075,-12
1648163076,-12
1648163077,-12
1648163078,-12
1648163079,-12
1648163080,-12
1648163081,-12
1648163082,-12
1648163083,-12
1648163084,-12
1648163085,-12
1648163086,-12
1648163087,-12
1648163088,-12
1648163089,-12
1648163090,-12
1648163091,-12
1648163092,-12
1648163093,-12
1648163094,-12
1648163095,-12
1648163096,-12
1648163097,-12
1648163098,-12
1648163099,-12
1648163100,-12
1648163101,-12
1648163102,-12
1648163103,-12
1648163104,-12
1648163105,-12
1648163106,-12
1648163107,-12
1648163108,-12
1648163109,-12
1648163110,-12
1648163111,-12
1648163112,-12
1648163113,-12
1648163114,-12
1648163115,-12
1648163116,-12
1648163117,-12
1648163118,-12
1648163119,-12
1648163120,-12
1648163121,-12
1648163122,-12
1648163123,-12
1648163124,-12
1648163125,-12
1648163126,-12
1648163127,-12
1648163128,-12
1648163129,-12
1648163130,-12
1648163131,-12
1648163132,-12
1648163133,-12
1648163134,-12
1648163135,-12
1648163136,-12
1648163137,-12
1648163138,-12
1648163139,-12
1648163140,-12
1648163141,-12
1648163142,-12
1648163143,-12
1648163144,-12
1648163145,-12
1648163146,-12
1648163147,-12
1648163148,-12
1648163149,-12
1648163150,-12
1648163151,-12
1648163152,-12
1648163153,-12
1648163154,-12
1648163155,-12
1648163156,-12
1648163157,-12
1648163158,-12
1648163159,-12
1648163160,-12
1648163161,-12
1648163162,-12
1648163163,-12
1648163164,-12
1648163165,-12
1648163166,-12
1648163167,-12
1648163168,-12
1648163169,-12
1648163170,-12
1648163171,-12
1648163172,-12
1648163173,-12
1648163174,-12
1648163175,-12
1648163176,-12
1648163177,-12
1648163178,-12
1648163179,-12
1648163180,-12
1648163181,-12
1648163182,-12
1648163183,-12
1648163184,-12
1648163185,-12
1648163186,-12
1648163187,-12
1648163188,-12
1648163189,-12
1648163190,-12
1648163191,-12
1648163192,-12
1648163193,-12
1648163194,-12
1648163195,-12
1648163196,-12
1648163197,-12
1648163198,-12
1648163199,-12
1648163200,-12
1648163201,-12
1648163279,-12
1648163280,-12
1648163281,-12
1648163282,-12
1648163283,-12
1648163284,-12
1648163285,-12
1648163286,-12
1648163287,-12
1648163288,-12
1648163289,-12
1648163290,-12
1648163291,-12
1648163292,-12
1648163293,-12
1648163294,-12
1648163295,-12
1648163296,-12
1648163399,-12
1648163400,-12
1648163401,-12
1648163402,-12
1648163403,-12
1648163404,-12
1648163405,-12
1648163406,-12
1648163407,-12
1648163408,-12
1648163409,-12
1648163410,-12
1648163411,-12
1648163412,-12
1648163413,-12
1648163414,-12
1648163415,-12
1648163416,-12
1648163417,-12
1648163418,-12
1648163419,-12
1648163420,-12
1648163421,-12
1648163422,-12
1648163423,-12
1648163424,-12
1648163425,-12
1648163426,-12
1648163427,-12
1648163428,-12
1648163429,-12
1648163430,-12
1648163431,-12
1648163432,-12
1648163433,-12
1648163434,-12
1648163435,-12
1648163436,-12
1648163635,0
1648163636,0
1648163637,0
1648163638,0
1648163639,0
1648163640,0
1648163641,0
1648163642,0
1648163643,0
1648163644,0
1648163645,0
1648163646,0
1648163647,0
1648163648,0
1648163649,0
1648163650,0
1648163651,0
1648163652,0
1648163653,0
1648163654,0
1648163655,0
1648163656,0
1648163657,0
1648163658,0
1648163659,0
1648163660,0
1648163661,0
1648163662,0
1648163663,0
1648163664,0
1648163665,0
1648163666,0
1648163667,0
1648163668,0
1648163669,0
1648163670,0
1648163671,0
1648163672,0
1648163673,0
1648163674,0
1648163675,0
1648163676,0
1648163677,0
1648163678,0
1648163679,0
1648163680,0
1648163681,0
1648163682,0
1648163683,0
1648163684,0
1648163685,0
1648163686,0
1648163687,0
1648163688,0
1648163689,0
1648163732,150
1648163733,150
1648163734,150
1648163735,150
1648163736,150
1648163737,150
1648163738,150
1648163739,150
1648163740,150
1648163741,150
1648163742,150
1648163743,150
1648163744,150
1648163745,150
1648163746,150
1648163747,150
1648163748,150
1648163749,150
1648163750,150
1648163751,150
1648163752,150
1648163753,150
1648163754,150
1648163755,150
1648163756,150
1648163757,150
1648163758,150
1648163759,150
1648163760,150
1648163761,150
1648163762,150
1648163763,150
1648163764,150
1648163765,150
1648163766,150
1648163767,150
1648163768,150
1648163769,150
1648163770,150
1648163771,150
1648163772,150
1648163773,150
1648163774,150
1648163775,150
1648163776,150
1648163777,150
1648163778,150
1648163779,150
1648163780,150
1648163781,150
1648163782,150
1648163783,150
1648163784,150
1648163785,150
1648163786,150
1648163787,150
1648163788,150
1648163789,150
1648163790,150
1648163791,150
1648163792,150
1648163968,0
1648163989,0
1648163990,0
1648163991,0
1648163992,0
1648163993,0
1648164054,0
1648164055,0
1648164056,0
1648164057,0
1648164058,0
1648164064,150
1648164075,0
1648164076,0
1648164077,0
1648164078,0
1648164079,0
1648164080,0
1648164081,0
1648164082,0
1648164083,0
1648164084,0
1648164085,0
1648164086,0
1648164087,0
1648164088,0
1648164089,0
1648164090,0
1648164091,0
1648164092,0
1648164093,0
1648164094,0
1648164095,0
1648164096,0
1648164097,0
1648164098,0
1648164099,0
1648164100,0
1648164101,0
1648164102,0
1648164103,0
1648164104,0
1648164105,0
1648164106,0
1648164107,0
1648164108,0
1648164109,0
1648164110,0
1648164111,0
1648164112,0
1648164113,0
1648164114,0
1648164115,0
1648164116,0
1648164117,0
1648164118,0
1648164119,0
1648164120,0
1648164121,0
1648164122,0
1648164123,0
1648164124,0
1648164125,0
1648164126,0
1648164127,0
1648164128,0
1648164129,0
1648164130,0
1648164131,0
1648164132,0
1648164133,0
1648164134,0
1648164135,0
1648164136,0
1648164137,0
1648164138,0
1648164139,0
1648164140,0
1648164141,0
1648164142,0
1648164143,0
1648164144,0
1648164145,0
1648164146,0
1648164147,0
1648164148,0
1648164149,0
1648164150,0
1648164151,0
1648164152,0
1648164271,150
1648164272,150
1648164273,150
1648164274,150
1648164275,150
1648164276,150
1648164277,150
1648164278,150
1648164279,150
1648164280,150
1648164281,150
1648164282,150
1648164283,150
1648164284,150
1648164285,150
1648164286,150
1648164287,150
1648164288,150
1648164289,150
1648164290,150
1648164291,150
1648164292,150
1648164293,150
1648164294,150
1648164295,150
1648164296,150
1648164297,150
1648164298,150
1648164299,150
1648164300,150
1648164301,150
1648164302,150
1648164303,150
1648164304,150
1648164305,150
1648164306,150
1648164307,150
1648164308,150
1648164309,150
1648164310,150
1648164311,150
1648164312,150
1648164313,150
1648166468,0
1648166469,0
1648166470,0
1648166471,0
1648166472,0
1648166473,0
1648166474,0
1648166475,0
1648166476,0
1648166477,0
1648166478,0
1648166479,0
1648166480,0
1648166481,0
1648166482,0
1648166483,0
1648166484,0
1648166485,0
1648166486,0
1648166487,0
1648166488,0
1648166489,0
1648166490,0
1648166491,0
1648166492,0
1648166493,0
1648166494,0
1648166495,0
1648166496,0
1648166497,0
1648166498,0
1648166499,0
1648166500,0
1648166501,0
1648166502,0
1648166503,0
1648166504,0
1648166505,0
1648166506,0
1648166507,0
1648166508,0
1648166509,0
1648166510,0
1648166511,0
1648166512,0
1648166513,0
1648166514,0
1648166515,0
1648166544,0
1648166545,0
1648166546,0
1648166547,0
1648166548,0
1648166549,0
1648166550,0
1648166551,0
1648166552,0
1648166553,0
1648166554,0
1648166555,0
1648166556,0
1648166557,0
1648166558,0
1648166559,0
1648166560,0
1648166561,0
1648166562,0
1648166563,0
1648166564,0
1648166565,0
1648166566,0
1648166567,0
1648166568,0
1648166569,0
1648166570,0
1648166571,0
1648166572,0
1648166573,0
1648166574,0
1648166575,0
1648166576,0
1648166577,0
1648166578,0
1648166579,0
1648166580,0
1648166581,0
1648166582,0
1648166583,0
1648166584,0
1648166585,0
1648166586,0
1648166587,0
1648166588,0
1648166589,0
1648166590,0
1648166591,0
1648166592,0
1648166593,0
1648166594,0
1648166595,0
1648166596,0
1648166597,0
1648168126,0
1648168127,0
1648168128,0
1648168129,0
1648168130,0
1648168131,0
1648168132,0
1648168133,0
1648168134,0
1648168135,0
1648168136,0
1648168137,0
1648168138,0
1648168139,0
1648168140,0
1648168141,0
1648168142,0
1648168143,0
1648168144,0
1648168145,0
1648168146,0
1648168147,0
1648168148,0
1648168149,0
1648168150,0
1648168151,0
1648168152,0
1648168153,0
1648168154,0
1648168155,0
1648168156,0
1648168157,0
1648168158,0
1648168159,0
1648168160,0
1648168161,0
1648168162,0
1648168163,0
1648168164,0
1648168165,0
1648168166,0
1648168167,0
1648168168,0
1648168169,0
1648168170,0
1648168171,0
1648168172,0
1648168173,0
1648168174,0
1648168175,0
1648168176,0
1648168177,0
1648168178,0
1648168179,0
1648168180,0
1648168181,0
1648168182,0
1648168183,0
1648168184,0
1648168185,0
1648168186,0
1648168187,0
1648168188,0
1648168189,0
1648168190,0
1648168191,0
1648168192,0
1648168193,0
1648168194,0
1648168195,0
1648168196,0
